product_id,product_name,category_id,price,cost_price,stock_quantity,rating,added_date
30,Ultra Cricket Bat 30,8,29540.77,24695.23,21,2.9,2024-01-08
31,Essential Chair 31,3,41426.86,20291.64,37,4.5,2023-01-09
32,Advanced Desk 32,7,47773.55,22209.0,117,3.3,2023-02-18
33,Pro Backpack 33,1,29766.53,25757.95,188,3.9,2023-09-20
34,Smart Watch 34,6,1627.35,985.26,211,4.3,2025-06-14
35,Classic Keyboard 35,3,40574.09,25598.16,75,4.7,2025-06-21
36,Premium Mouse 36,3,29220.56,17750.58,38,4.8,2023-10-02
37,Eco Monitor 37,7,4157.84,2635.87,60,4.4,2024-02-29
38,Ultra Shoes 38,7,45556.45,29962.43,233,3.1,2024-02-12
39,Essential Lamp 39,1,60636.43,29927.64,174,4.1,2023-03-02
40,Advanced Bottle 40,4,48648.82,27467.43,106,3.6,2023-05-15
41,Pro Phone 41,1,7195.64,6139.17,24,3.8,2025-08-21
42,Smart Laptop 42,6,17365.38,10364.44,266,4.5,2025-08-17
43,Classic Headphones 43,5,19550.36,8607.77,164,3.3,2024-07-14
44,Premium T-Shirt 44,3,49431.27,27281.04,295,4.1,2025-01-12
45,Eco Jeans 45,5,13140.29,9051.56,197,3.5,2023-06-27
46,Ultra Mixer 46,2,39469.51,26242.0,22,4.5,2024-07-15
47,Essential Cookware Set 47,5,23051.77,13207.75,236,5.0,2024-08-12
48,Advanced Novel 48,6,55719.32,24457.69,83,3.2,2025-02-26
49,Pro Face Wash 49,2,6186.77,3146.64,170,4.9,2025-02-18
50,Smart Cricket Bat 50,5,15587.26,13045.88,281,3.0,2025-08-17
51,Classic Chair 51,3,9186.86,7457.39,17,3.8,2023-09-21
52,Premium Desk 52,5,11464.42,9445.84,256,3.6,2023-04-22
53,Eco Backpack 53,7,29550.3,20975.87,22,3.5,2024-05-05
54,Ultra Watch 54,4,14466.19,12556.63,90,4.7,2023-04-23
55,Essential Keyboard 55,2,26946.51,15294.2,5,3.5,2024-02-15
56,Advanced Mouse 56,4,51601.9,23439.38,161,3.5,2023-09-18
57,Pro Monitor 57,5,28954.69,14447.92,76,3.3,2025-01-13
58,Smart Shoes 58,3,33801.25,27918.5,150,4.4,2024-04-05
59,Classic Lamp 59,2,2005.93,1516.48,49,4.8,2023-03-31
60,Premium Bottle 60,1,6814.56,5730.83,50,4.2,2023-04-21
61,Eco Phone 61,4,32317.12,17119.44,76,4.7,2024-05-08
62,Ultra Laptop 62,1,49282.11,25615.75,140,4.5,2023-06-12
63,Essential Headphones 63,8,17704.09,7702.48,257,3.8,2025-08-26
64,Advanced T-Shirt 64,5,47322.35,29541.02,221,3.5,2025-03-24
65,Pro Jeans 65,5,25655.99,18061.94,240,3.7,2024-09-27
66,Smart Mixer 66,3,2891.58,2435.44,222,2.8,2023-12-13
67,Classic Cookware Set 67,6,44330.85,21782.98,53,4.4,2025-04-05
68,Premium Novel 68,3,50546.01,26711.58,74,3.1,2023-05-07
69,Eco Face Wash 69,6,9404.11,5271.02,209,5.0,2023-09-22
70,Ultra Cricket Bat 70,1,1424.63,595.74,175,3.1,2024-08-07
71,Essential Chair 71,5,48097.15,26423.37,269,4.2,2023-07-02
72,Advanced Desk 72,3,3049.09,1610.54,43,4.3,2023-10-22
73,Pro Backpack 73,8,1218.25,643.0,251,3.3,2025-04-27
74,Smart Watch 74,7,14704.14,7684.57,59,3.7,2024-07-07
75,Classic Keyboard 75,7,40520.0,21800.51,204,4.5,2024-12-18
76,Premium Mouse 76,8,22659.67,12636.24,283,4.6,2023-01-13
77,Eco Monitor 77,3,15588.88,12298.05,158,4.8,2024-10-19
78,Ultra Shoes 78,4,27415.0,20509.19,111,3.2,2025-08-19
79,Essential Lamp 79,6,59063.2,25783.59,63,3.3,2023-12-09
80,Advanced Bottle 80,4,49525.87,22031.5,195,3.9,2024-01-15
81,Pro Phone 81,1,46748.32,21960.97,223,4.1,2024-03-20
82,Smart Laptop 82,1,60550.55,27128.8,259,3.0,2025-03-09
83,Classic Headphones 83,1,26329.7,22333.65,65,5.0,2025-09-15
84,Premium T-Shirt 84,4,48821.23,21607.44,190,3.5,2024-01-30
85,Eco Jeans 85,3,29027.72,17471.58,184,4.1,2024-07-29
86,Ultra Mixer 86,8,19658.07,14082.44,104,3.7,2024-01-13
87,Essential Cookware Set 87,7,9968.06,4969.86,43,3.5,2023-01-24
88,Advanced Novel 88,8,9404.09,7383.54,144,4.7,2025-01-23
89,Pro Face Wash 89,3,8490.11,6142.43,87,3.9,2023-02-27
90,Smart Cricket Bat 90,4,9479.51,7857.25,7,4.9,2024-04-26
91,Classic Chair 91,2,19216.8,14915.65,197,3.4,2023-05-16
92,Premium Desk 92,3,51582.74,22967.63,232,5.0,2025-06-20
93,Eco Backpack 93,5,35451.03,28594.67,294,3.1,2025-07-30
94,Ultra Watch 94,3,21142.54,16631.66,245,4.2,2025-04-25
95,Essential Keyboard 95,4,7395.63,5042.81,164,3.2,2023-04-17
96,Advanced Mouse 96,7,36347.49,17568.41,223,3.6,2023-10-24
97,Pro Monitor 97,7,48283.78,22824.45,124,3.3,2024-08-26
98,Smart Shoes 98,8,8416.8,3707.59,219,3.4,2023-04-11
99,Classic Lamp 99,2,9112.95,5466.81,254,3.8,2023-07-05
100,Premium Bottle 100,2,47242.23,21336.33,174,3.5,2025-05-24
