payment_id,order_id,payment_date,payment_method,payment_status,amount
164,164,2024-05-23,Credit Card,Completed,18441.42
165,165,2025-09-24,Net Banking,Completed,271388.31
166,166,2024-09-19,Wallet,Completed,195559.13
167,167,2024-11-12,UPI,Completed,295220.53
168,168,2025-11-07,Credit Card,Completed,55204.96
169,169,2024-10-12,Net Banking,Completed,151649.39
170,170,2024-11-25,Wallet,Completed,186741.1
171,171,2024-12-03,Credit Card,Completed,42035.96
172,172,2025-02-10,Net Banking,Refunded,131085.18
173,173,2024-09-11,Net Banking,Completed,107624.86
174,174,2024-03-10,Debit Card,Failed,197636.57
175,175,2025-06-11,Debit Card,Completed,183258.65
176,176,2024-06-05,UPI,Completed,18441.42
177,177,2025-07-07,Wallet,Completed,173591.28
178,178,2025-08-26,UPI,Completed,18869.55
179,179,2025-03-14,UPI,Completed,246323.55
180,180,2024-02-10,Cash on Delivery,Completed,116781.85
181,181,2024-10-15,Wallet,Completed,164956.19
182,182,2025-02-28,Cash on Delivery,Completed,83602.32
183,183,2024-01-29,Cash on Delivery,Pending,73869.46
184,184,2025-02-16,Cash on Delivery,Pending,201891.03
185,185,2025-06-28,Credit Card,Completed,55445.18
186,186,2024-12-28,Wallet,Completed,312174.93
187,187,2024-01-06,Wallet,Completed,173821.61
188,188,2024-08-31,Cash on Delivery,Completed,71282.04
189,189,2024-10-01,Wallet,Completed,189167.16
190,190,2024-07-16,Debit Card,Completed,146463.69
191,191,2025-07-21,Credit Card,Completed,133488.14
192,192,2025-01-26,Credit Card,Refunded,128885.18
193,193,2025-12-04,Cash on Delivery,Pending,222509.67
194,194,2024-05-18,Net Banking,Completed,314151.1
195,195,2025-10-04,Credit Card,Completed,98660.77
196,196,2024-03-14,UPI,Completed,240051.82
197,197,2024-12-17,Credit Card,Completed,3846.5
198,198,2025-12-19,Net Banking,Completed,214623.63
199,199,2024-11-06,Wallet,Completed,229762.99
200,200,2024-10-31,Credit Card,Completed,235425.05
201,201,2025-08-05,Credit Card,Refunded,179179.33
202,202,2024-07-26,Debit Card,Completed,224572.31
203,203,2025-10-01,Cash on Delivery,Completed,137608.77
204,204,2025-01-16,Wallet,Completed,207226.16
205,205,2025-05-20,Credit Card,Completed,298238.45
206,206,2025-05-02,UPI,Completed,417894.85
207,207,2025-03-29,Cash on Delivery,Failed,151505.98
208,208,2024-12-04,Cash on Delivery,Completed,15948.9
209,209,2024-06-05,UPI,Completed,116703.73
210,210,2024-05-19,Cash on Delivery,Completed,82560.63
211,211,2024-03-11,UPI,Completed,520227.17
212,212,2024-10-23,Credit Card,Completed,172365.95
213,213,2025-12-12,UPI,Completed,39056.98
214,214,2025-04-22,Debit Card,Completed,158286.23
215,215,2025-04-08,Cash on Delivery,Pending,226852.74
216,216,2024-11-10,Cash on Delivery,Completed,397644.29
217,217,2025-01-25,Cash on Delivery,Refunded,219057.88
218,218,2025-12-02,Wallet,Completed,424818.15
219,219,2025-05-31,Credit Card,Completed,165746.54
220,220,2025-10-22,Debit Card,Completed,37325.11
221,221,2025-11-15,Wallet,Completed,99027.46
222,222,2024-03-28,Credit Card,Completed,101403.75
223,223,2025-09-01,Cash on Delivery,Failed,315250.83
224,224,2025-01-26,Wallet,Completed,41889.79
225,225,2025-02-19,Net Banking,Completed,23987.88
226,226,2024-11-21,Wallet,Completed,77279.35
227,227,2025-12-08,Credit Card,Completed,113141.96
228,228,2024-05-18,Wallet,Completed,8416.8
229,229,2025-12-06,Credit Card,Completed,14136.66
230,230,2025-09-27,Cash on Delivery,Failed,76564.52
231,231,2025-08-29,Debit Card,Refunded,227666.9
232,232,2025-09-08,Debit Card,Completed,66910.22
233,233,2024-04-02,Net Banking,Completed,8933.9
234,234,2025-02-02,UPI,Completed,203112.51
235,235,2025-10-18,Cash on Delivery,Refunded,67714.0
236,236,2025-05-30,Wallet,Completed,18222.39
237,237,2024-11-29,UPI,Completed,129420.35
238,238,2024-09-21,Credit Card,Completed,88292.13
239,239,2024-03-07,Net Banking,Completed,112513.63
240,240,2025-07-23,Net Banking,Pending,89323.8
241,241,2025-11-10,Credit Card,Completed,180661.67
242,242,2024-01-27,UPI,Completed,283121.96
243,243,2024-05-31,Credit Card,Refunded,113839.99
244,244,2024-06-08,Credit Card,Completed,182134.75
245,245,2025-11-14,Net Banking,Refunded,2896.64
246,246,2024-06-21,UPI,Completed,289963.93
247,247,2024-04-22,UPI,Completed,352592.91
248,248,2024-05-23,Debit Card,Completed,206620.98
249,249,2025-10-29,Cash on Delivery,Pending,130203.5
250,250,2025-04-01,Wallet,Completed,174164.57
251,251,2025-08-07,Credit Card,Completed,211218.58
252,252,2025-09-22,Cash on Delivery,Completed,303697.58
253,253,2024-09-11,Debit Card,Completed,440258.55
254,254,2024-06-15,Net Banking,Completed,237236.93
255,255,2025-11-22,Debit Card,Failed,87878.21
256,256,2025-07-18,Credit Card,Refunded,127735.16
257,257,2024-05-14,Wallet,Completed,96005.99
258,258,2025-04-21,UPI,Completed,123358.54
259,259,2024-11-15,UPI,Completed,224427.74
260,260,2025-06-12,Wallet,Completed,114109.02
261,261,2025-11-16,UPI,Completed,241992.0
262,262,2024-03-19,Net Banking,Completed,81040.0
263,263,2025-01-15,Credit Card,Completed,36591.35
264,264,2024-11-15,Cash on Delivery,Refunded,445364.46
265,265,2024-12-21,Net Banking,Completed,246191.16
266,266,2024-11-03,UPI,Completed,152168.07
267,267,2025-03-10,Cash on Delivery,Completed,34487.98
268,268,2025-04-10,Cash on Delivery,Completed,196456.15
269,269,2025-12-18,Credit Card,Completed,192162.54
270,270,2025-10-16,Wallet,Failed,109126.02
271,271,2024-02-16,Wallet,Completed,168090.74
272,272,2025-04-19,UPI,Completed,15282.2
273,273,2024-11-10,UPI,Completed,31544.81
274,274,2025-09-19,Wallet,Completed,44274.17
275,275,2024-09-11,Net Banking,Completed,184335.2
276,276,2025-05-06,Credit Card,Refunded,87059.56
277,277,2024-09-29,Cash on Delivery,Completed,97887.77
278,278,2025-08-16,Net Banking,Completed,179216.55
279,279,2025-06-23,Cash on Delivery,Completed,48219.76
280,280,2024-06-08,Cash on Delivery,Completed,202102.33
281,281,2024-04-06,Net Banking,Completed,176479.58
282,282,2025-04-04,Cash on Delivery,Completed,110616.97
283,283,2025-10-16,Wallet,Completed,80891.38
284,284,2024-03-21,Credit Card,Refunded,96612.37
285,285,2024-04-24,Wallet,Completed,23980.43
286,286,2024-08-01,Wallet,Completed,109550.04
287,287,2025-10-07,Wallet,Completed,149655.96
288,288,2025-06-02,Cash on Delivery,Completed,92207.08
289,289,2024-09-20,Net Banking,Completed,456538.56
290,290,2024-04-18,UPI,Completed,364368.08
291,291,2024-08-15,Wallet,Completed,3846.5
292,292,2025-02-06,Cash on Delivery,Completed,15986.99
293,293,2024-02-22,Credit Card,Completed,28063.73
294,294,2025-07-25,UPI,Refunded,252416.77
295,295,2025-08-18,Debit Card,Completed,98557.53
296,296,2025-08-22,Credit Card,Completed,117872.64
297,297,2024-09-20,UPI,Completed,255145.95
298,298,2024-12-07,Net Banking,Completed,222510.03
299,299,2024-06-25,Credit Card,Completed,236386.79
300,300,2024-08-19,Cash on Delivery,Completed,106188.83
301,301,2024-04-06,UPI,Completed,41000.81
302,302,2024-08-09,Debit Card,Completed,202218.43
303,303,2024-06-23,UPI,Completed,284285.33
304,304,2025-11-10,Debit Card,Completed,34902.19
305,305,2025-04-15,Net Banking,Completed,23052.76
306,306,2025-12-31,Credit Card,Completed,62372.07
307,307,2025-10-13,UPI,Completed,82853.72
308,308,2025-08-02,Debit Card,Completed,11464.42
309,309,2024-03-02,Net Banking,Completed,165221.06
310,310,2024-12-14,Net Banking,Completed,216367.4
311,311,2024-10-25,Debit Card,Completed,27193.95
312,312,2025-02-09,UPI,Completed,180334.28
313,313,2024-03-20,Cash on Delivery,Completed,102008.73
314,314,2025-08-03,Credit Card,Failed,237167.14
315,315,2025-12-29,Credit Card,Completed,45395.09
316,316,2025-10-11,Debit Card,Pending,165340.24
317,317,2024-10-21,Cash on Delivery,Completed,28280.04
318,318,2025-03-19,Net Banking,Completed,120337.71
319,319,2024-09-10,Net Banking,Completed,184154.58
320,320,2024-08-05,Credit Card,Completed,204643.52
321,321,2024-05-23,Net Banking,Completed,311262.6
322,322,2025-11-24,Wallet,Completed,196801.46
323,323,2025-09-02,Wallet,Completed,164645.57
324,324,2024-05-20,Credit Card,Completed,68462.17
325,325,2025-08-15,Debit Card,Completed,32414.83
326,326,2025-10-29,Debit Card,Completed,194649.34
327,327,2025-05-10,UPI,Completed,292888.35
328,328,2024-06-20,UPI,Completed,94099.15
329,329,2025-12-05,Cash on Delivery,Completed,51868.27
330,330,2024-11-10,Credit Card,Completed,233328.68
331,331,2024-07-03,Cash on Delivery,Completed,45642.22
332,332,2025-07-19,Credit Card,Completed,380504.43
333,333,2025-09-02,Net Banking,Completed,21806.59
334,334,2024-01-04,Cash on Delivery,Completed,179876.34
335,335,2025-12-27,Cash on Delivery,Completed,181929.5
336,336,2024-05-31,Net Banking,Refunded,282865.37
337,337,2025-08-14,Net Banking,Pending,111491.75
338,338,2024-10-16,Cash on Delivery,Completed,210220.47
339,339,2024-09-29,Wallet,Completed,115670.52
340,340,2024-05-24,Credit Card,Completed,139776.23
341,341,2024-12-17,UPI,Completed,216080.69
342,342,2025-04-13,Net Banking,Completed,229236.36
343,343,2025-12-18,UPI,Completed,48434.09
344,344,2024-10-22,UPI,Completed,217757.38
345,345,2024-06-30,Cash on Delivery,Completed,261554.14
346,346,2025-07-04,Debit Card,Completed,20393.7
347,347,2024-12-07,Cash on Delivery,Completed,209371.36
348,348,2024-05-16,Credit Card,Completed,133410.28
349,349,2024-08-01,Credit Card,Failed,94099.15
350,350,2025-10-24,Wallet,Completed,64534.44
351,351,2024-07-15,UPI,Completed,93892.54
352,352,2024-07-04,Cash on Delivery,Completed,65796.0
353,353,2025-11-20,Cash on Delivery,Pending,128437.16
354,354,2024-06-14,UPI,Refunded,50870.19
355,355,2024-10-18,UPI,Completed,244865.52
356,356,2024-04-28,Wallet,Pending,58836.0
357,357,2025-07-25,Cash on Delivery,Completed,256865.36
358,358,2025-11-02,UPI,Completed,182087.34
359,359,2025-09-11,Wallet,Completed,61244.65
360,360,2024-02-06,UPI,Completed,173206.13
361,361,2024-08-11,Debit Card,Refunded,42590.11
362,362,2025-07-09,Cash on Delivery,Completed,159468.24
363,363,2025-07-26,Credit Card,Completed,33739.69
364,364,2025-06-15,Cash on Delivery,Completed,86466.95
365,365,2025-10-02,Cash on Delivery,Completed,102217.8
366,366,2025-06-28,UPI,Completed,23430.74
367,367,2025-07-03,Cash on Delivery,Completed,191794.63
368,368,2024-03-27,Credit Card,Failed,142758.85
369,369,2025-01-03,Net Banking,Completed,144516.98
370,370,2025-03-01,Wallet,Failed,44213.66
371,371,2025-07-28,Net Banking,Completed,1157.34
372,372,2024-06-30,Cash on Delivery,Completed,174463.22
373,373,2025-05-11,Cash on Delivery,Completed,234165.87
374,374,2024-05-19,Wallet,Completed,36575.74
375,375,2025-12-02,Debit Card,Completed,83205.22
376,376,2025-11-02,Net Banking,Refunded,163219.25
377,377,2024-09-14,Cash on Delivery,Completed,156405.59
378,378,2024-12-13,Net Banking,Refunded,99141.17
379,379,2024-03-10,Credit Card,Completed,76971.62
380,380,2025-10-01,Cash on Delivery,Completed,240644.06
381,381,2025-07-30,Debit Card,Completed,410149.3
382,382,2025-12-16,Cash on Delivery,Completed,20180.87
383,383,2024-08-07,Net Banking,Completed,280911.23
384,384,2024-09-04,Credit Card,Completed,133726.37
385,385,2025-04-26,UPI,Completed,186193.75
386,386,2024-01-20,Credit Card,Completed,142020.02
387,387,2025-06-03,Wallet,Completed,129664.0
388,388,2024-12-28,Net Banking,Completed,203938.56
389,389,2024-09-13,Credit Card,Completed,175157.66
390,390,2024-01-24,Wallet,Completed,149841.7
391,391,2025-11-20,Cash on Delivery,Completed,69180.48
392,392,2025-07-02,UPI,Failed,275407.85
393,393,2025-09-26,UPI,Completed,335585.24
394,394,2025-10-08,Wallet,Completed,39795.95
395,395,2025-01-22,Wallet,Completed,43245.76
396,396,2024-06-28,Debit Card,Completed,61377.52
397,397,2024-01-21,UPI,Refunded,343916.57
398,398,2025-06-02,Debit Card,Completed,84587.12
399,399,2025-06-27,Debit Card,Completed,70466.62
400,400,2024-12-14,Wallet,Completed,272631.44
401,401,2025-04-14,Debit Card,Completed,183669.27
402,402,2025-10-10,Cash on Delivery,Completed,250746.06
403,403,2024-09-14,Wallet,Pending,218378.15
404,404,2024-04-12,Credit Card,Refunded,366114.98
405,405,2025-10-23,Cash on Delivery,Completed,383801.78
406,406,2024-08-30,Cash on Delivery,Completed,185499.16
407,407,2024-06-03,Wallet,Completed,80000.42
408,408,2024-03-29,Net Banking,Completed,317278.94
409,409,2025-12-24,Wallet,Completed,38211.83
410,410,2024-04-08,Cash on Delivery,Completed,53277.08
411,411,2025-02-27,UPI,Completed,115209.22
412,412,2025-04-06,Credit Card,Completed,37252.7
413,413,2025-04-11,Net Banking,Completed,55907.9
414,414,2025-06-06,Wallet,Completed,89331.27
415,415,2024-09-10,Cash on Delivery,Completed,153705.44
416,416,2024-05-03,Debit Card,Completed,89146.57
417,417,2024-07-11,Cash on Delivery,Completed,247718.63
418,418,2024-06-29,Credit Card,Completed,395443.45
419,419,2024-08-29,Net Banking,Completed,96717.69
420,420,2025-09-18,Net Banking,Completed,245939.92
421,421,2025-07-14,Wallet,Completed,497856.05
422,422,2024-06-09,UPI,Completed,3254.7
423,423,2025-10-26,Debit Card,Completed,436253.0
424,424,2025-02-21,Net Banking,Failed,143940.92
425,425,2025-02-10,Cash on Delivery,Completed,553268.49
426,426,2025-03-21,Wallet,Completed,70425.66
427,427,2024-04-08,Cash on Delivery,Failed,294328.97
428,428,2025-05-09,Net Banking,Completed,31177.76
429,429,2024-02-24,UPI,Completed,128707.75
430,430,2024-10-25,Credit Card,Failed,170072.03
431,431,2024-06-11,Credit Card,Completed,271701.01
432,432,2025-06-27,Wallet,Refunded,57462.12
433,433,2025-08-30,Credit Card,Completed,19028.29
434,434,2025-07-10,Debit Card,Completed,11303.02
435,435,2024-12-30,Wallet,Refunded,16536.35
436,436,2025-11-08,UPI,Completed,12498.52
437,437,2025-01-21,Wallet,Completed,328814.27
438,438,2025-06-22,Wallet,Completed,54020.15
439,439,2025-01-13,Wallet,Completed,219076.72
440,440,2025-11-03,UPI,Completed,243472.58
441,441,2024-12-08,Debit Card,Refunded,113573.48
442,442,2024-11-26,Debit Card,Completed,192933.82
443,443,2024-06-08,Credit Card,Pending,383369.2
444,444,2024-01-03,UPI,Failed,246659.03
445,445,2025-07-17,Wallet,Completed,151331.37
446,446,2024-01-25,Wallet,Completed,312846.08
447,447,2024-04-24,Net Banking,Refunded,232219.85
448,448,2024-05-02,UPI,Completed,9404.09
449,449,2024-08-28,Credit Card,Completed,227303.7
450,450,2024-10-28,Cash on Delivery,Completed,141974.63
451,451,2024-06-18,Wallet,Completed,399368.69
452,452,2025-01-02,Wallet,Completed,61166.9
453,453,2025-09-14,UPI,Refunded,36451.15
454,454,2024-06-14,Net Banking,Completed,82702.99
455,455,2024-07-02,Cash on Delivery,Completed,209120.34
456,456,2025-03-01,Cash on Delivery,Refunded,16914.03
457,457,2025-12-23,Credit Card,Completed,274309.37
458,458,2025-04-11,UPI,Completed,3949.95
459,459,2025-11-12,UPI,Completed,105318.8
460,460,2025-01-22,Wallet,Completed,99290.38
461,461,2024-08-11,Cash on Delivery,Failed,134196.33
462,462,2025-12-21,UPI,Refunded,33854.72
463,463,2025-10-23,UPI,Completed,147219.34
464,464,2024-07-16,Debit Card,Completed,341271.06
465,465,2025-02-05,Net Banking,Failed,241954.72
466,466,2025-01-05,Net Banking,Completed,250537.92
467,467,2024-10-25,UPI,Failed,98836.45
468,468,2024-09-01,Credit Card,Completed,92361.56
469,469,2024-04-02,Wallet,Completed,44731.44
470,470,2025-09-13,Cash on Delivery,Completed,51198.37
471,471,2024-06-15,Net Banking,Completed,238867.73
472,472,2025-02-09,Wallet,Completed,308504.87
473,473,2024-08-20,Cash on Delivery,Completed,23509.73
474,474,2025-04-24,UPI,Completed,174702.0
475,475,2024-02-18,Debit Card,Completed,173271.09
476,476,2025-03-02,Wallet,Completed,74305.7
477,477,2025-09-12,UPI,Completed,303365.03
478,478,2025-03-18,Net Banking,Pending,204712.99
479,479,2024-11-19,UPI,Completed,106028.37
480,480,2025-08-11,Net Banking,Completed,308372.7
481,481,2024-01-11,Cash on Delivery,Completed,66165.45
482,482,2025-10-21,Credit Card,Completed,107786.04
483,483,2024-04-21,Credit Card,Completed,98138.22
484,484,2025-04-27,Cash on Delivery,Completed,255542.45
485,485,2025-03-13,Net Banking,Refunded,74849.98
486,486,2024-12-28,Net Banking,Completed,44394.39
487,487,2024-12-14,Debit Card,Completed,13126.94
488,488,2024-06-12,Cash on Delivery,Pending,81040.0
489,489,2024-09-14,Credit Card,Completed,231361.02
490,490,2024-01-14,Cash on Delivery,Completed,312981.22
491,491,2025-04-16,Net Banking,Completed,48349.36
492,492,2025-07-21,Debit Card,Refunded,76086.33
493,493,2025-06-04,Net Banking,Completed,149681.79
494,494,2024-12-12,UPI,Completed,265553.48
495,495,2024-06-29,Credit Card,Completed,134085.62
496,496,2024-06-12,Cash on Delivery,Completed,84345.93
497,497,2024-10-30,Net Banking,Completed,73275.25
498,498,2025-08-25,Debit Card,Completed,11754.86
499,499,2024-05-27,UPI,Completed,59438.52
500,500,2024-01-15,UPI,Refunded,43861.61
501,501,2025-11-25,Cash on Delivery,Completed,150036.54
502,502,2025-07-11,UPI,Refunded,40849.3
503,503,2025-10-25,Credit Card,Refunded,63207.53
504,504,2025-02-07,Cash on Delivery,Completed,272505.03
505,505,2025-09-14,UPI,Completed,57429.63
506,506,2025-03-26,Credit Card,Completed,221876.99
507,507,2025-02-22,UPI,Refunded,15986.95
508,508,2025-06-25,Debit Card,Completed,159706.78
509,509,2025-06-17,Wallet,Completed,194043.08
510,510,2024-12-10,Cash on Delivery,Completed,145946.46
511,511,2024-08-16,Debit Card,Refunded,27920.47
512,512,2025-06-21,Debit Card,Completed,10164.89
513,513,2024-05-09,UPI,Completed,36285.91
514,514,2024-12-06,Wallet,Completed,88483.26
515,515,2025-06-20,Credit Card,Completed,129105.9
516,516,2025-09-21,Cash on Delivery,Completed,173694.55
517,517,2025-09-14,Debit Card,Completed,99523.87
518,518,2025-03-27,Credit Card,Completed,94530.46
519,519,2024-07-09,Credit Card,Completed,120555.59
520,520,2025-12-23,Cash on Delivery,Completed,195913.89
521,521,2024-03-06,Wallet,Completed,117475.97
522,522,2024-09-07,Cash on Delivery,Completed,148964.0
523,523,2024-12-12,Net Banking,Failed,298690.28
524,524,2024-07-28,Wallet,Refunded,157702.75
525,525,2025-09-09,Wallet,Completed,119379.02
526,526,2025-09-07,Debit Card,Completed,20635.96
527,527,2025-11-27,Cash on Delivery,Pending,58708.19
528,528,2024-03-27,Credit Card,Completed,131418.76
529,529,2024-12-24,Wallet,Completed,79795.53
530,530,2024-04-21,Credit Card,Completed,116413.19
531,531,2024-02-04,UPI,Completed,3898.4
532,532,2024-04-13,Debit Card,Refunded,353077.84
